c_index,spearman,pearson,p_spearman,k,taxonomy_level,filter,Metabolites,Locate,Microbium,number
0.7024793388429752,0.4770631745217949,0.3182296439543167,0.0528248264831772,5,6,2,0,0,1,35
0.6363636363636364,0.3503432687894431,0.3990009206411217,0.168005889542423,35,6,2,0,0,1,35
0.6115702479338843,0.3130727082799279,0.361197326206562,0.2211175563293194,30,6,2,0,0,1,35
0.5950413223140496,0.2720750917194612,0.0636817434556346,0.2907659467995391,10,6,2,0,0,1,35
0.5950413223140496,0.2546821634816874,0.2616083011607345,0.323891846521284,15,6,2,0,0,1,35
0.5950413223140496,0.2509551074307359,0.2179469185966759,0.331265120555328,20,6,2,0,0,1,35
0.5785123966942148,0.2447433473458166,0.1797668037645989,0.3437677218267813,25,6,2,0,0,1,35
0.5555555555555556,0.1266861320161581,0.1107670874265387,0.5742543068163446,35,6,4,0,0,1,35
0.544973544973545,0.0772901631107753,0.0738025342790088,0.7324458873655164,25,6,4,0,0,1,35
0.5291005291005291,0.032543226572958,0.0656486016446561,0.885683024682952,30,6,4,0,0,1,35
0.5079365079365079,0.0674109693296988,0.0424276546896306,0.7656511481347456,15,6,4,0,0,1,35
0.492063492063492,-0.0389356460783605,-0.1171361929876659,0.863414824924744,20,6,4,0,0,1,35
0.3756613756613756,-0.3143908138566126,-0.3481071793824226,0.154163393057483,10,6,4,0,0,1,35
0.365079365079365,-0.3236888785917435,-0.3884513708297256,0.1416934857697667,5,6,4,0,0,1,35
0.5769230769230769,0.1692654532112021,-0.0286378847046663,0.6633023864318675,25,6,6,0,0,1,35
0.5384615384615384,0.1069044967649697,-0.0560550018720521,0.7842794289221957,20,6,6,0,0,1,35
0.5,0.0089087080637474,-0.0638963437967572,0.9818525292272404,5,6,6,0,0,1,35
0.5,0.0,-0.0270912707806472,1.0,15,6,6,0,0,1,35
0.5,0.0,0.0490790816776576,1.0,30,6,6,0,0,1,35
0.4230769230769231,-0.1069044967649697,0.0130646463562628,0.7842794289221957,35,6,6,0,0,1,35
0.3846153846153846,-0.2316264096574344,-0.2992361386556581,0.5487251201506088,10,6,6,0,0,1,35
0.6134020618556701,0.2931544835405581,0.2615946624705001,0.0431593879708809,5,6,0,0,0,1,35
0.5618556701030928,0.1871597982626713,0.1690653081083244,0.2027372944925523,30,6,0,0,0,1,35
0.5597938144329897,0.1633234088612934,0.0865064671858965,0.2673531436801887,20,6,0,0,0,1,35
0.5494845360824743,0.1393766658052794,0.1246262439487056,0.3447617690911573,15,6,0,0,0,1,35
0.5371134020618556,0.1164782824683075,0.0929220448312557,0.4304613928746336,25,6,0,0,0,1,35
0.5175257731958763,0.0334371573547107,0.0073218599459765,0.8215001244672078,35,6,0,0,0,1,35
0.5154639175257731,0.0497143214135221,0.0488753425300928,0.7372031316613348,10,6,0,0,0,1,35
0.6611570247933884,0.3838867732480069,0.2274554299155881,0.1282022135823639,5,7,2,0,0,1,35
0.6446280991735537,0.3851291252649907,0.3984456573003747,0.1268675733824116,30,7,2,0,0,1,35
0.6198347107438017,0.3105880042459602,0.3660623974202192,0.2250013259974299,35,7,2,0,0,1,35
0.6033057851239669,0.3068609481950087,0.1258672305902545,0.2309083047948773,10,7,2,0,0,1,35
0.5867768595041323,0.2695903876854935,0.1736864630869838,0.2953682831524125,25,7,2,0,0,1,35
0.5785123966942148,0.1739292823777377,0.1994473205489475,0.5043743489056334,15,7,2,0,0,1,35
0.5454545454545454,0.1329316658172709,0.1394392757776885,0.6110254277202223,20,7,2,0,0,1,35
0.5978835978835979,0.2307082312404347,0.1753241950398959,0.3016171887648833,35,7,4,0,0,1,35
0.5661375661375662,0.1545803262215507,0.1406590087091589,0.4921646242905013,30,7,4,0,0,1,35
0.544973544973545,0.0953051635350914,0.0260982281891197,0.6731053564049412,25,7,4,0,0,1,35
0.492063492063492,-0.032543226572958,-0.1059972846491593,0.885683024682952,20,7,4,0,0,1,35
0.4867724867724867,-0.0395167751243062,-0.0985879353596039,0.8613951463701651,15,7,4,0,0,1,35
0.4126984126984127,-0.197583875621531,-0.2442313906174181,0.3781071468964874,10,7,4,0,0,1,35
0.3703703703703703,-0.3085795233971558,-0.3630605852245865,0.1623367436443627,5,7,4,0,0,1,35
0.5384615384615384,0.0712696645099798,-0.07897701650414,0.8554237860075906,5,7,6,0,0,1,35
0.5384615384615384,0.1247219128924647,0.0136596195680059,0.749189240389827,25,7,6,0,0,1,35
0.5,0.0,-0.0957349580760846,1.0,15,7,6,0,0,1,35
0.5,0.0,-0.083635460614886,1.0,20,7,6,0,0,1,35
0.4230769230769231,-0.187082869338697,-0.3193512964451095,0.6298196232304643,10,7,6,0,0,1,35
0.4230769230769231,-0.1069044967649697,-0.0286060517256697,0.7842794289221957,35,7,6,0,0,1,35
0.3846153846153846,-0.2138089935299395,-0.0266775580841015,0.5806854885646506,30,7,6,0,0,1,35
0.6185567010309279,0.2985066357904045,0.2801976055912363,0.0393177041761235,5,7,0,0,0,1,35
0.5701030927835051,0.1839043654509091,0.1712377913098049,0.2108448960511773,20,7,0,0,0,1,35
0.565979381443299,0.1642062380983814,0.1188397828617934,0.2647404039135269,15,7,0,0,0,1,35
0.5443298969072164,0.1143815630302234,0.0840390399869397,0.4388625174133755,30,7,0,0,0,1,35
0.5412371134020618,0.1380524219496473,0.1521505814403179,0.3494100265037778,25,7,0,0,0,1,35
0.5257731958762887,0.0716195218587698,0.0124832746361656,0.6285724953930056,35,7,0,0,0,1,35
0.511340206185567,0.0552871809726405,0.0564487077702302,0.708977517397608,10,7,0,0,0,1,35
