ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Date,AgeMonths,Cage,MiceName,diff,DateEnd
24-1_5-20,0.006730389,0.19791842,0.027412958,0.035428546,0.13093595,-0.2824794,-0.12900078,-0.15840618,0.17469633,0.2090502,2020-05-01,4,Agf24,24-1,420,2021-07-01
24-1_7-20,-0.02473602,0.267235,-0.08377169,0.037486218,0.06284882,-0.45585433,-0.11363031,-0.15167448,0.009386085,0.12260324,2020-07-01,6,Agf24,24-1,360,2021-07-01
25-0_5-20,0.15334012,0.25665644,-0.08408274,-0.07787351,-0.066194475,-0.2800213,-0.17510608,-0.2258001,0.12665756,0.24528144,2020-05-01,4,Agf25,25-0,420,2021-07-01
25-0_7-20,-0.046472903,0.27625534,-0.05376447,0.0038268268,-0.10162771,-0.3520447,-0.1086959,-0.09220048,0.041866332,0.15841517,2020-07-01,6,Agf25,25-0,360,2021-07-01
25-2_5-20,0.10734911,0.19308622,-0.06309812,-0.096570835,0.009497561,-0.37593812,-0.09867192,-0.26990086,0.12098498,0.22204168,2020-05-01,4,Agf25,25-2,420,2021-07-01
25-2_7-20,-0.045968216,0.19246434,0.04692018,-0.042202964,0.06155689,-0.20850219,-0.13311857,0.021934502,0.11342668,-0.09879251,2020-07-01,6,Agf25,25-2,360,2021-07-01
26-0_5-20,0.096221656,0.37174416,-0.29560575,-0.0014896989,-0.1951021,-0.32312056,-0.115803845,-0.2720347,0.047050364,0.2081636,2020-05-01,4,Agf26,26-0,420,2021-07-01
26-0_7-20,-0.17864898,0.24502295,-0.049090922,0.12721738,-0.071899936,-0.46008927,-0.1244908,-0.047925614,-0.038772672,0.09429316,2020-07-01,6,Agf26,26-0,360,2021-07-01
27-0_5-20,-0.16726695,0.24397707,-0.0027078092,0.18149176,-0.021444414,-0.4847816,-0.12718719,0.019965343,-0.07648003,0.12068927,2020-05-01,4,Agf27,27-0,420,2021-07-01
27-0_7-20,-0.023645286,0.16242252,0.02296631,0.1841375,0.037364654,-0.34347057,-0.20254855,-0.034258887,-0.008072853,0.10798703,2020-07-01,6,Agf27,27-0,360,2021-07-01
27-1_5-20,-0.10801783,0.25715494,-0.080509536,0.14647985,-0.008637188,-0.40169483,-0.1277881,-0.18899074,0.023359276,0.20999293,2020-05-01,4,Agf27,27-1,420,2021-07-01
27-1_7-20,-0.047285568,0.2256625,-0.12406012,0.21346244,0.036553048,-0.34748238,-0.22562751,-0.24821189,0.05817777,0.18181853,2020-07-01,6,Agf27,27-1,360,2021-07-01
27-2_5-20,0.029957678,0.22458567,-0.013446618,0.16898903,0.14158228,-0.3547017,-0.24001019,-0.1831357,0.03662409,0.20164585,2020-05-01,4,Agf27,27-2,420,2021-07-01
27-2_7-20,-0.0767118,0.10965501,0.0030074492,0.2746789,0.18131918,-0.34295428,-0.074777655,-0.029258437,0.045415796,-0.0021518506,2020-07-01,6,Agf27,27-2,360,2021-07-01
28-0_5-20,-0.14454338,0.25950745,-0.11053351,0.15971018,-0.00037088897,-0.341636,-0.11474648,-0.25619656,0.13732184,0.25857076,2020-05-01,4,Agf28,28-0,420,2021-07-01
28-0_7-20,-0.04950318,0.19959784,-0.06688374,0.11747897,0.01885761,-0.3433776,-0.11434685,-0.1481592,0.092908636,0.13469505,2020-07-01,6,Agf28,28-0,360,2021-07-01
28-1_5-20,0.2010455,0.35179803,-0.24041906,0.0026189387,-0.1312461,-0.22915998,-0.28570896,-0.42119265,0.17091164,0.23457296,2020-05-01,4,Agf28,28-1,420,2021-07-01
28-1_7-20,0.11507338,0.49347657,-0.31127623,0.01483196,-0.24912837,-0.2145049,-0.17463909,-0.34664038,0.19747023,0.3493622,2020-07-01,6,Agf28,28-1,360,2021-07-01
29-0_5-20,-0.036999114,0.23623565,-0.074238494,0.08317329,-0.06080816,-0.46583608,-0.15441903,-0.16122393,-0.05428846,0.24983202,2020-05-01,4,Agf29,29-0,420,2021-07-01
29-0_7-20,0.118637815,0.1916947,-0.13932179,0.032572977,-0.003783134,-0.16572498,-0.13834955,-0.38702285,0.2409803,0.28440747,2020-07-01,6,Agf29,29-0,360,2021-07-01
29-1_5-20,-0.06836774,0.16877125,0.019712113,0.10225519,0.023896715,-0.38800597,-0.23160613,-0.13634332,0.0015093088,0.16063339,2020-05-01,4,Agf29,29-1,420,2021-07-01
29-1_7-20,-0.04958027,0.20064223,-0.05427231,0.11083935,0.0721292,-0.3449114,-0.24923891,-0.2618482,0.03888499,0.20628145,2020-07-01,6,Agf29,29-1,360,2021-07-01
29-2_7-20,-0.14836971,0.167579,0.0330054,0.1839316,0.056037597,-0.38772202,-0.23726822,0.0054213777,-0.039435804,0.064193174,2020-07-01,6,Agf29,29-2,360,2021-07-01
30-1_5-20,0.09214488,0.3000375,-0.1437884,0.15951921,0.026049102,-0.28465083,-0.17465246,-0.22353843,0.098533764,0.24786864,2020-05-01,2,Agf30,30-1,480,2021-09-01
30-1_7-20,0.014811795,0.2091845,-0.13792029,0.22921321,0.09576921,-0.1887689,-0.17938326,-0.12700886,0.13648719,-0.02449904,2020-07-01,4,Agf30,30-1,420,2021-09-01
31-0_7-20,-0.01957694,0.30991164,-0.20108733,0.15740713,-0.016783409,-0.21704614,-0.25829262,-0.27461538,0.14412786,0.13288653,2020-07-01,4,Agf31,31-0,420,2021-09-01
31-2_5-20,0.06858754,0.23075064,-0.1005014,0.23665759,0.100892864,-0.24972612,-0.28625077,-0.28760925,0.1254396,0.26249683,2020-05-01,2,Agf31,31-2,480,2021-09-01
31-2_7-20,-0.08793491,0.20666835,-0.08232315,0.20619129,0.023694435,-0.27303547,0.060461044,0.11939,0.20552684,-0.018107958,2020-07-01,4,Agf31,31-2,420,2021-09-01
32-0_5-20,0.07786776,0.46529368,-0.16190234,0.04867763,-0.096690446,-0.33543748,-0.056674376,-0.08315875,0.2836058,0.27189052,2020-05-01,2,Agf32,32-0,480,2021-09-01
32-0_7-20,-0.10572183,0.17494547,-0.15807569,0.14519374,0.052650563,-0.14150485,-0.09408976,-0.12518008,0.21083054,0.10274649,2020-07-01,4,Agf32,32-0,420,2021-09-01
32-1_5-20,-0.07557025,0.154428,0.017419256,0.094313115,0.100320175,-0.28272033,0.011541039,-0.07100581,0.16220051,0.059068564,2020-05-01,2,Agf32,32-1,480,2021-09-01
32-1_7-20,0.10836521,0.2903661,-0.0816077,0.06422982,-0.03041764,-0.2625124,-0.24504113,-0.17923519,0.14530748,0.21599041,2020-07-01,4,Agf32,32-1,420,2021-09-01
32-2_5-20,0.1763224,0.18765838,-0.049268022,0.04606431,0.08579363,-0.26493943,-0.08646995,-0.18383433,0.19278108,0.2445529,2020-05-01,2,Agf32,32-2,480,2021-09-01
32-2_7-20,-0.2785337,0.15700786,0.08470323,0.19624662,0.06817216,-0.5243092,-0.045616858,0.13881975,-0.092953995,-0.041369557,2020-07-01,4,Agf32,32-2,420,2021-09-01
33-0_5-20,0.005053673,0.27676654,-0.06626205,0.12071151,0.024406323,-0.3207422,-0.17036302,-0.2099285,0.1089659,0.28795266,2020-05-01,2,Agf33,33-0,480,2021-09-01
33-0_7-20,-0.0024549477,0.21603453,-0.04170252,0.15835984,0.011974603,-0.35031378,-0.37567222,-0.04594662,-0.08058573,-0.028845103,2020-07-01,4,Agf33,33-0,420,2021-09-01
