ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Date,AgeMonths,DateEnd,Cage,MiceName,diff
30-2_7-20,-0.05370374,0.23379335,-0.008186113,0.20725651,0.100999914,-0.2924438,-0.20746487,-0.10466235,0.092017934,0.16539946,2020-07-01,4,2021-05-01,Agf30,30-2,330
31-1_5-20,-0.16059944,0.21338391,-0.007888049,0.18495193,-0.018860584,-0.46466437,-0.083709285,0.035147853,-0.059860647,0.139287,2020-05-01,2,2021-05-01,Agf31,31-1,360
31-1_7-20,0.100956336,0.42903358,-0.2565682,0.059222445,-0.11818389,-0.23397385,-0.24599397,-0.3992378,0.24965847,0.32229066,2020-07-01,4,2021-05-01,Agf31,31-1,300
33-1_5-20,-0.078141235,0.16267438,-0.002229564,0.11262396,0.20577118,-0.26240584,-0.09003537,-0.20620045,0.2145872,0.106921285,2020-05-01,2,2021-07-01,Agf33,33-1,450
33-1_7-20,-0.0681348,0.16301832,-0.0050587878,0.1596156,0.093358696,-0.23897988,-0.23786932,-0.15871252,0.09771137,0.14043657,2020-07-01,4,2021-07-01,Agf33,33-1,390
34-0_5-20,0.07926647,0.11959243,-0.110279545,0.17269158,0.14717226,-0.18587768,-0.27472144,-0.24153891,0.04992625,0.19528295,2020-05-01,2,2021-05-01,Agf34,34-0,330
34-0_7-20,0.20945342,0.16867004,-0.038119435,-0.07222423,-0.048304766,-0.18521237,-0.19801182,-0.23825437,0.15552051,0.20005937,2020-07-01,4,2021-05-01,Agf34,34-0,270
35-2_5-20,0.20886926,0.45531532,-0.30772477,-0.03255838,-0.29564208,-0.27129912,-0.18055627,-0.22541869,0.13914376,0.26240388,2020-05-01,2,2021-03-01,Agf35,35-2,300
35-2_7-20,0.046036545,0.19712493,-0.069603525,0.059184134,-0.00047529303,-0.26473013,-0.21204662,-0.19891918,0.10670467,0.15906033,2020-07-01,,2021-03-01,Agf35,35-2,
36-2_5-20,0.055914212,0.1065523,-0.026469145,0.093394816,0.13296504,-0.25904864,-0.0998847,-0.073017254,0.10662551,0.091257766,2020-05-01,2,2021-07-01,Agf36,36-2,450
36-2_7-20,0.0016748793,0.18881041,0.02103658,0.16374458,0.15227456,-0.31276977,-0.32601523,-0.14480059,0.026696086,0.14356257,2020-07-01,4,2021-07-01,Agf36,36-2,390
37-0_5-20,-0.02756088,0.29946968,-0.19572183,-0.0049405694,-0.11911196,-0.2765505,0.0018674284,-0.21979374,0.17904489,0.16780977,2020-05-01,2,2021-01-01,Agf37,37-0,240
37-0_7-20,-0.12251912,0.15870932,-0.052836183,-0.039697394,-0.071474314,-0.2189886,-0.014298484,-0.08809756,0.18732825,0.051614847,2020-07-01,4,2021-01-01,Agf37,37-0,180
37-2_5-20,0.08606024,0.12032002,-0.019357216,0.17436387,0.27325565,-0.16913298,-0.21334356,-0.21086308,0.21342117,0.15905596,2020-05-01,2,2021-05-01,Agf37,37-2,330
37-2_7-20,0.16036908,0.22536719,-0.012112644,-0.031888798,-0.016223527,-0.3769137,-0.28097874,-0.15060644,-0.0017424077,0.2311527,2020-07-01,4,2021-05-01,Agf37,37-2,270
38-0_5-20,0.08130023,0.19392616,-0.20549944,0.055312015,0.053339772,-0.010779932,-0.1110781,-0.49747026,0.40034884,0.28750026,2020-05-01,2,2021-03-01,Agf38,38-0,300
38-0_7-20,-0.073810965,0.2708213,-0.05343376,0.099448115,-0.13274482,-0.46288392,-0.16362955,-0.03780373,-0.0761428,0.17634873,2020-07-01,4,2021-03-01,Agf38,38-0,240
40-0_5-20,-0.008961186,0.18135473,-0.052086152,0.15036578,0.065258734,-0.27811405,-0.22144589,-0.20237292,0.094978146,0.15061116,2020-05-01,2,2021-05-01,Agf40,40-0,390
40-0_7-20,0.27378935,0.64719886,-0.40334505,0.033578023,-0.2944072,-0.31637526,-0.30102077,-0.45169652,0.15879872,0.4961423,2020-07-01,4,2021-05-01,Agf40,40-0,330
41-1_5-20,-0.036269017,0.0791485,0.045320496,0.07882414,0.089759916,-0.34821472,-0.091451734,-0.07488623,0.023215756,0.11039767,2020-05-01,2,2021-06-01,Agf41,41-1,420
41-1_7-20,-0.02706869,0.1772378,0.0069040135,0.046002187,-0.058943257,-0.39247933,-0.2863537,-0.16841246,-0.04223579,0.15942498,2020-07-01,4,2021-06-01,Agf41,41-1,360
42-0_5-20,0.20023386,0.3336612,-0.33744332,-0.018357098,-0.15454738,-0.11138596,-0.16178037,-0.3356312,0.17695342,0.23981817,2020-05-01,2,2020-07-01,Agf42,42-0,60
45-0_5-20,0.015306119,0.20301178,-0.060318694,0.09765904,0.07703289,-0.27886054,-0.045344904,-0.042325176,0.18360758,0.046630826,2020-05-01,2,2021-03-01,Agf45,45-0,300
45-0_7-20,-0.09259468,0.0595584,0.13307333,0.123791195,0.031971276,-0.41293725,-0.34495705,0.113862224,-0.16963981,-0.15138784,2020-07-01,4,2021-03-01,Agf45,45-0,240
45-1_5-20,0.11743723,0.29584798,-0.073464006,0.17853276,0.08883424,-0.27695245,-0.23066175,-0.18520123,0.13965608,0.2815427,2020-05-01,2,2021-07-01,Agf45,45-1,450
46-1_5-20,-0.12984277,0.24043295,-0.01803634,0.14519627,-0.0177292,-0.46666822,-0.10222751,-0.0630115,-0.021371514,0.19219868,2020-05-01,2,2021-07-01,Agf46,46-1,450
46-1_7-20,-0.08266336,0.2067763,-0.031581685,0.14901607,-0.0409597,-0.34037048,-0.12465452,-0.07086927,0.08192754,0.1295605,2020-07-01,4,2021-07-01,Agf46,46-1,390
47-1_5-20,0.063665316,0.32833233,-0.17778552,0.03015837,-0.16388585,-0.3963393,-0.13298352,-0.27333525,0.076415166,0.32772067,2020-05-01,2,2021-05-01,Agf47,47-1,330
47-1_7-20,-0.19352174,0.13238704,0.054840274,0.25831604,0.17638545,-0.38281444,-0.18936118,-0.06400518,-0.0048621744,0.06554276,2020-07-01,4,2021-05-01,Agf47,47-1,270
