ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9
34-0_7-20,0.20945342,0.16867004,-0.038119435,-0.07222423,-0.048304766,-0.18521237,-0.19801182,-0.23825437,0.15552051,0.20005937
34-1_5-20,0.22854142,0.4330748,-0.37358484,0.060272485,-0.19682299,-0.15966532,-0.27531374,-0.36454302,0.17984653,0.26781863
34-1_7-20,0.07859866,0.20916131,0.0034054741,0.15220225,0.12476811,-0.10802799,-0.1944606,-0.07057689,0.19129394,0.13400805
35-0_5-20,0.18364301,0.52159524,-0.3328155,0.04025927,-0.26145795,-0.17762452,-0.26863813,-0.40490824,0.19978839,0.37605262
35-0_7-20,0.07493438,0.2560578,-0.009525668,0.020455092,-0.03496643,-0.26602173,-0.22595513,-0.058927987,0.05255837,0.15226081
35-1_5-20,0.13589932,0.07625458,-0.09422373,-0.020375311,-0.031372987,-0.2504309,-0.27852678,-0.31132898,0.04066661,0.16124651
35-1_7-20,0.0884148,0.16880378,-0.06090869,0.09187015,0.10999403,-0.15453784,-0.12512365,-0.23469013,0.24106333,0.17484497
35-2_5-20,0.20886926,0.45531532,-0.30772477,-0.03255838,-0.29564208,-0.27129912,-0.18055627,-0.22541869,0.13914376,0.26240388
35-2_7-20,0.046036545,0.19712493,-0.069603525,0.059184134,-0.00047529303,-0.26473013,-0.21204662,-0.19891918,0.10670467,0.15906033
36-0_5-20,0.0060457177,0.25410038,-0.13852572,0.15849265,-0.05205573,-0.26832092,-0.39017618,-0.31716946,0.09375948,0.15720758
36-0_7-20,0.047742803,0.37419564,-0.14796767,0.018744215,-0.089774586,-0.2256766,-0.21269827,-0.20349056,0.15915759,0.22037388
36-1_5-20,0.029045183,0.26335514,-0.13559954,0.16572466,-0.059433118,-0.33525157,-0.33350492,-0.20531905,-0.009423137,0.17516536
36-1_7-20,0.13126902,0.5052476,-0.41890025,0.0693573,-0.46347728,-0.26986068,-0.3102592,-0.3728866,0.05743421,0.33451304
36-2_5-20,0.055914212,0.1065523,-0.026469145,0.093394816,0.13296504,-0.25904864,-0.0998847,-0.073017254,0.10662551,0.091257766
36-2_7-20,0.0016748793,0.18881041,0.02103658,0.16374458,0.15227456,-0.31276977,-0.32601523,-0.14480059,0.026696086,0.14356257
37-0_5-20,-0.02756088,0.29946968,-0.19572183,-0.0049405694,-0.11911196,-0.2765505,0.0018674284,-0.21979374,0.17904489,0.16780977
37-0_7-20,-0.12251912,0.15870932,-0.052836183,-0.039697394,-0.071474314,-0.2189886,-0.014298484,-0.08809756,0.18732825,0.051614847
37-1_5-20,0.014304977,0.24619755,-0.044070497,0.04564503,-0.039924897,-0.2791761,-0.05998247,-0.08681616,0.15262087,0.20583373
37-1_7-20,0.15730172,0.33966047,-0.20614198,-0.09912227,-0.15115997,-0.3206282,-0.15314823,-0.13645656,0.04608646,0.26578197
37-2_5-20,0.08606024,0.12032002,-0.019357216,0.17436387,0.27325565,-0.16913298,-0.21334356,-0.21086308,0.21342117,0.15905596
37-2_7-20,0.16036908,0.22536719,-0.012112644,-0.031888798,-0.016223527,-0.3769137,-0.28097874,-0.15060644,-0.0017424077,0.2311527
38-0_5-20,0.08130023,0.19392616,-0.20549944,0.055312015,0.053339772,-0.010779932,-0.1110781,-0.49747026,0.40034884,0.28750026
38-0_7-20,-0.073810965,0.2708213,-0.05343376,0.099448115,-0.13274482,-0.46288392,-0.16362955,-0.03780373,-0.0761428,0.17634873
38-1_5-20,-0.21750712,0.16050923,0.0023650602,0.111782506,0.16407688,-0.27154964,-0.09248926,-0.09396834,0.21336764,0.052805495
38-1_7-20,-0.009162087,0.1332539,0.090458386,0.055510297,0.0935246,-0.37087694,-0.11576745,0.1843017,-0.049915552,-0.055758905
38-2_5-20,-0.23302406,0.09277159,-0.03923796,0.09674573,0.21092734,-0.30836928,0.055928275,-0.12600777,0.2899546,-0.012971463
38-2_7-20,0.083492026,0.23059174,-0.009563014,-0.12431042,-0.08536137,-0.31495953,-0.2800992,-0.17501047,0.020287849,0.1948015
39-0_5-20,0.04100651,0.28686512,-0.08501972,0.045149893,0.0046721986,-0.25902304,-0.2307079,-0.16740686,0.09970363,0.18438566
39-0_7-20,0.027720314,0.14776683,0.105506904,-0.03180982,-0.003192706,-0.37078553,-0.1705682,0.1504615,-0.052755475,-0.037306406
39-1_5-20,0.1700251,0.3081723,-0.19565567,-0.042301565,-0.06887396,-0.092659324,-0.08549521,-0.3502016,0.31517714,0.25634202
39-1_7-20,0.057723712,0.3400587,-0.06349516,0.18473773,0.090821415,-0.2224278,-0.14961508,-0.08941571,0.18668836,0.12973167
40-0_5-20,-0.008961186,0.18135473,-0.052086152,0.15036578,0.065258734,-0.27811405,-0.22144589,-0.20237292,0.094978146,0.15061116
