Compound	18-1_5-20	18-2_5-20	20-0_5-20	20-1_5-20	21-1_5-20	21-2_5-20	22-0_5-20	22-1_5-20	23-0_5-20	23-1_5-20	23-2_5-20	24-0_5-20	24-1_5-20	24-2_5-20	25-0_5-20	27-0_5-20	28-0_5-20	29-0_5-20	29-1_5-20	29-2_5-20	30-0_5-20	30-1_5-20	30-1_7-20	30-2_7-20	31-1_5-20	31-2_5-20	31-2_7-20	32-0_5-20	32-0_7-20	32-1_7-20	32-2_5-20	33-0_5-20	33-0_7-20	33-1_7-20	34-0_5-20	34-0_7-20	34-1_7-20	35-0_7-20	35-1_5-20	35-2_7-20	36-2_7-20	37-0_7-20	37-1_7-20	37-2_7-20	38-2_5-20	38-2_7-20	39-0_7-20	40-0_5-20	40-1_5-20	40-2_5-20	40-2_7-20	41-0_5-20	41-0_7-20	41-1_5-20	41-1_7-20	42-1_5-20	42-1_7-20	43-0_5-20	43-0_7-20	43-1_7-20	44-0_5-20	44-1_7-20	45-0_5-20	45-0_7-20	45-2_7-20	46-0_5-20	46-0_7-20	47-1_7-20	14-0_5-20	14-1_5-20	14-2_5-20	15-1_5-20 
1-Phenyl-1-pentanone Esi+5.0020056	104393.9804	65480.01355	51714.02585	68652.94555	107663.0742	100318.0719	65226.97037	81241.03505	90989.97615	115355.9585	99627.95568	129037.9591	109218.9752	54073.98276	66746.0111	53590.97711	59589.99475	111241.9952	108428.9143	87126.01876	54465.00716	124087.9071	48934.99731	44576.01413	114513.9634	107299.9591	36457.0195	129503.0006	75232.0092	99523.04457	78834.96405	84752.01214	88454.93412	43764.97118	83919.00779	80943.01681	61125.00256	150022.9822	116108.0118	85631.97622	70178.96254	91673.93624	87201.96352	80754.05025	71433.98574	72279.00372	103746.0584	62939.01587	81981.00184	79869.0537	52570.97968	52002.97359	46767.02381	97911.92769	86360.98034	124390.9499	108250.938	85634.05369	126494.05	113180.0379	64715.96325	75921.98016	80252.01522	71426.0639	92840.00629	84651.02989	44831.99253	46485.97839	79205.00625	75930.92695	95795.01751	66179.0059
trans-2-trans-4-Nonadiene	52060.98545	67490.92938	110675.0117	1	1	49694.99712	1	1	57052.97513	55600.99191	75122.94496	168044.0575	150990.9965	166034.0947	85802.97203	1	102081.0112	144587.9703	59550.95401	121918.962	83605.95011	1	40101.98418	1	74186.03424	91105.97166	90149.00826	61600.99357	84218.00032	149738.0141	40856.99561	1	74425.01568	1	97683.95551	127882.1164	80438.02282	118229.0469	1	1	1	189345.1576	80793.01786	84385.99713	115483.9633	83790.96098	88056.9955	1	1	1	71363.95741	1	68681.97951	54859.01127	1	1	93782.94739	1	41287.00078	78077.97415	57546.996	1	128722.9706	50337.99034	1	114290.0275	88599.99519	101578.9542	122846.9062	136054.0144	83295.96557	75777.03128
trans-2-trans-4-Nonadiene Esi+11.331985	90013.88877	84230.02653	89161.05086	102374.0118	87197.91388	48765.01905	103561.9852	86575.00828	133068.9085	95865.02873	157138.046	58170.96029	52249.98491	64587.97642	40818.00355	155193.0043	74182.949	130600.9622	65585.07855	89070.00163	46711.00937	91798.94798	1	1	91609.97024	99577.00477	96139.9878	65501.98469	34797.01664	106794.0689	58126.98667	61205.98022	48584.98827	91245.07055	102333.9271	1	1	79079.05443	84672.97742	72596.93403	81848.99035	82113.96617	47208.00841	74873.00307	86546.98851	71306.05654	56619.99495	99332.96811	72387.04987	102287.9732	98601.98022	123710.0344	108632.0287	106606.0656	108528.9195	62554.99642	114767.1317	93435.94215	131561.0589	78399.99816	97604.97064	76390.99699	78787.00101	89508.06129	58109.9664	100664.9555	70042.98755	59434.99452	143075.8845	107931.9897	131505.0795	54877.95117
160.1251@10.653011	89750.97555	87112.97525	92363.99791	80324.08383	111303.0036	54956.02361	108673.9778	110011.9714	75526.95485	90924.02941	65769.99773	84617.00487	76327.00701	95537.00302	74881.98196	120275.0605	95684.98947	71953.03894	37812.98182	136477.9163	50643.97414	123984.9944	77788.05425	140406.9672	55852.95536	61582.97741	145004.8872	74417.94853	48290.00525	144323.1293	116604.1007	78173.01171	48554.95807	130510.0155	87489.05957	74724.92897	65781.03102	182585.9211	97051.03647	99216.0568	118970.965	153643.7973	39690.0016	100413.0324	73925.98804	85073.96063	1	120538.9603	90823.93983	85486.97477	94917.92884	45976.97728	46410.99477	118062.9688	170339.9139	1	136805.0537	91545.09704	200547.9926	204554.819	97577.98018	87620.08538	122932.0015	58564.99558	144346.0396	91334.03814	35703.99774	108038.0515	104385.9487	79540.99561	56464.01116	103356.0275
Empenthrin Esi+8.5269985	128881.8873	1	59954.02536	396857.9003	166440.0383	98670.00763	97249.08125	137082.0361	114331.0708	1	64175.01022	180371.0156	1	115899.113	596719.3356	76281.99741	51774.03004	112306.9745	383603.1389	199558.8866	120579.9909	132968.0402	246045.2262	1	1	1	1	182747.9884	708437.9639	132380.0321	75545.07057	1	228087.0481	370163.9825	145059.977	110601.0073	430287.9758	185634.0711	179048.0151	113315.9171	273113.2912	115321.0218	342725.9723	219863.1047	121080.9186	652599.3387	1	111553.0165	69832.98397	171427.1392	193185.9971	85335.00229	113044.0866	117122.928	114999.0167	111523.9469	1	98794.97202	166572.9947	185266.0492	86826.03002	126737.8569	137939.8713	234672.945	469812.639	140296.9383	224526.1568	154272.0305	163846.0083	288614.2485	60896.97732	256029.0522
Pentalen-13-al Esi+11.822008	162385.9177	96656.02203	153578.1022	132197.9244	147168.0528	84566.98947	162168.0404	143766.0997	107802.0435	115813.0257	92620.05543	51207.97894	90580.94687	86936.95831	45385.97721	180007.8129	83193.02755	169774.9404	63267.01898	95941.00954	1	99253.06267	1	47128.98531	80326.03252	94973.93443	146643.1342	94042.93862	1	96174.91307	131715.9014	154325.8273	48646.01479	123180.9812	132059.9977	87869.93462	75335.01754	108801.0535	118320.0466	84617.00487	194131.0015	163746.8922	1	152253.0918	1	1	44838.02152	150358.927	119232.9951	164328.1369	113535.0325	126218.075	91395.02403	148421.133	147358.0143	69563.02258	71811.03821	108663.0559	140949.1254	192995.141	160301.0111	115582.063	145062.9935	80727.01911	97481.91688	75138.93254	47584.99173	77183.02674	68877.015	90795.92946	62694.01047	111157.0556
475.8996@0.3470001	44248.99291	27632.98894	58501.98677	93123.00545	116288.0238	74565.98286	67608.0305	46801.04101	68684.9788	106240.9922	78125.99293	76143.96099	89649.94018	96538.04564	62035.95503	57081.00043	84964.05491	106427.9829	30539.01691	58500.97301	1	90817.95936	1	21416.98831	35105.00225	1	36863.99996	79794.95969	1	32160.98562	114856.9793	100825.0084	1	27934.99613	68063.985	55201.00834	96589.9857	99781.93318	61129.95989	60047.97607	76583.926	43309.98343	41514.99776	60377.98542	81403.8834	94147.94601	1	94986.96984	78003.91966	57099.00559	1	1	1	89116.99711	91880.94025	53001.00148	60670.013	91196.00465	17939.00187	111288.8862	40178.02422	50424.98048	92083.94364	49420.94579	47563.98594	75329.90033	11564.00085	17321.99528	79247.01644	92128.95318	43746.98589	67413.97152
467.3817@11.661991	80302.92958	70591.94737	134682.0444	66433.99257	85190.91706	105038.9592	74743.99209	79262.01371	93181.95637	73826.9532	87007.00876	1	92209.00317	88527.00541	70553.00935	82759.94122	81654.96554	97057.96559	68510.04917	69871.96049	79250.97149	81661.9841	59751.98414	112164.9968	122044.9437	71862.97295	1	90216.95671	71438.98686	84930.02181	1	1	1	81676.02304	67908.99212	92119.94951	56919.99837	1	92443.99582	82321.97648	95935.95558	77459.03996	83663.05156	103155.0554	76517.91805	48898.0055	63515.01209	76379.98414	104821.9989	1	1	1	87553.97143	72235.02931	176098.9767	100813.0585	82598.04416	72722.99521	84741.02742	1	81437.97116	86585.99067	77069.05069	64012.01044	1	89537.97065	64264.99508	1	71229.04366	70354.00828	88193.02866	71275.02402
p-methoxystilbene Esi+6.059998	39157.01039	92438.99792	143422.1178	70628.99756	108031.0873	48498.01234	150560.1036	221380.0973	97441.99159	1	1	130838.0829	86217.01536	95970.07499	102994.9446	89512.90072	93985.07162	1	1	1	100325.0952	162158.0366	105680.9635	89028.09097	52833.01055	94786.04161	1	128152.0472	111697.9359	1	135404.8604	124454.9425	129898.9281	1	194064.9431	113412.0179	194144.8618	89949.95879	115175.0741	85014.06944	58937.98021	122459.9098	151355.02	146611.0178	160165.8446	150823.0077	114050.8758	164582.9087	109085.9672	85423.95064	154426.0913	189388.9982	82578.98124	135177.9205	67209.00849	146572.1013	1	100898.1362	1	81159.02989	130981.9056	105712.9797	93634.07333	137538.0242	66753.96912	87063.05355	46273.03159	65806.98022	125025.9464	113059.9156	132980.9441	108954.0274
(S)-gamma-Calacorene	63109.978	56705.96963	80663.03116	81429.95587	106918.9464	1	123121.996	115330.0548	101430.0073	66625.04584	141574.0183	38423.99752	79282.01448	99458.0138	73384.10558	119452.0428	93241.00925	102397.0055	63689.9889	93203.98376	1	147052.9296	1	1	63866.02323	112744.0678	83064.01572	44166.99322	1	95930.10396	44437.99177	55882.03738	1	84508.97817	74245.96488	48784.0022	1	123928.8884	86617.92551	77270.92243	64936.99482	67537.96081	1	54550.96132	69462.03226	61629.01019	37073.99592	107754.9038	51414.97514	92450.01928	77339.02734	79664.97738	77506.08713	143790.0179	96006.00326	103350.0098	81126.97079	83011.00553	104318.102	84760.00192	73390.00627	65742.01248	65506.02564	82656.06141	58123.9851	89963.98831	72633.97926	57147.98459	105861.0982	83208.02181	99389.99423	54212.01459
alpha-Methylstyrene	63785.9916	55594.01666	89405.06839	85619.98724	82774.91479	1	96643.96335	65484.05315	117229.0016	76075.95928	144226.0259	44567.98144	38067.99589	53342.9873	1	121354.0726	63878.02113	110327.0478	1	64755.98868	40480.00927	68027.95027	1	1	72926.97843	76276.97448	1	49295.01022	1	88775.01017	44088.99589	51418.00447	44952.00982	77916.00028	74191.02233	1	1	71281.99034	67008.94162	60866.00265	71381.02512	65096.98025	35424.99429	65364.96719	66350.00712	54505.00148	41675.01217	89743.94603	64691.96884	94676.90995	76551.97614	114079.9714	96912.02042	91298.02303	96667.01013	49107.98478	93547.92288	84440.99745	108008.8498	61954.99581	75250.00201	71045.96034	67136.97899	73413.00315	48658.99828	75560.04812	53583.00979	62392.97583	116136.1027	84246.95953	106662.9789	46707.99835
724.384@12.737991	92199.03306	143574.9964	191470.9504	1	67336.02791	1	1	90279.95006	74837.98011	62439.00816	145511.9387	155159.9833	139126.9131	191841.9895	30236.00684	119152.938	72432.02052	72272.04015	35238.99111	106423.0404	88174.99693	112785.0249	1	97876.10027	79109.97524	95713.97735	54441.98314	69792.96489	37585.98	69616.0337	111130.015	169284.106	51865.98237	101060.9415	66579.01932	58178.03706	1	135267.9007	55418.99777	69697.96919	114249.9493	88397.01298	33376.0129	113897.9298	118493.9603	1	53554.01059	96058.05657	68959.03666	143200.9959	104453.9844	113315.9171	74221.00934	109492.0806	149116.9778	92265.9685	111928.9728	137003.9535	59448.01426	71972.04346	98423.0088	75112.94794	85747.97613	63018.02849	41976.02692	121734.8742	56171.00519	58688.00311	77968.94537	100809.0056	87743.09648	56614.02987
o-Xylene	118256.9952	80263.03002	100265.0306	54678.00558	81552.077	52089.97051	81792.95694	57990.01938	58680.03048	101393.0331	117721.0671	103672.9504	76853.96117	1	60444.98389	75448.05034	59183.03247	47034.01921	39602.99723	77377.95606	65255.95763	57005.95442	73607.95143	95541.0426	45153.99452	60938.01982	88153.05821	83972.94706	63014.00998	124831.9755	88721.98357	65856.94643	76808.05519	105201.0078	68899.98269	127364.1743	86897.91853	112236.0021	56272.98996	55460.00016	156182.0361	49065.99853	86771.03998	96328.02725	67320.02071	43547.97458	160630.1295	54363.02063	76884.91791	82107.02258	80299.03335	57475.99835	146365.0933	59569.98602	117178.958	48644.02542	90805.99961	56621.01535	100983.1458	101728.8954	46898.0397	81342.96734	61036.98163	90652.04843	48745.99261	64856.96978	72545.07227	99888.9866	78120.03635	56464.98962	65424.98191	77132.96773
Capillanol	41711.02081	47911.02307	39659.99843	36365.00111	28967.00688	41525.01302	43078.01044	44424.00984	60425.96552	1	75046.02305	1	31823.01706	27767.0059	30786.98566	31225.00105	43795.98511	1	51761.9734	51990.98977	55565.0075	157041.0284	36813.00756	1	72485.9619	1	61219.00601	56497.01403	44875.98546	1	1	52945.0064	42916.00015	26279.98806	90756.03747	29338.97808	1	31570.99261	1	34303.99547	43390.9785	1	1	31111.0076	42730.9864	28896.01647	1	1	85988.01675	56940.00503	46659.00753	1	94187.89261	40280.98942	44439.00825	32415.00107	1	1	1	1	85491.06347	50512.01592	41964.01218	1	27025.99288	44633.98506	1	52008.97554	31952.00847	19559.98983	40164.99287	1
353.3293@13.056012	157456.0864	181641.8361	239684.9835	139379.0306	358619.1491	162756.8795	1	223635.8573	267440.0492	290858.1088	1	1	197036.8577	129817.9182	129446.9996	162701.9482	136265.1394	111369.9894	301273.8647	148154.0973	302767.9565	106695.9582	198381.9169	148415.9892	1	169174.078	135438.9342	131868.9152	279047.0753	155508.0781	1	1	1	1	1	189795.9919	150591.1018	322773.1395	177644.9313	301620.9263	317704.9406	235844.9199	137924.9565	168083.8981	1	185450.0331	1	110600.0107	150060.0065	1	107015.9269	1	293141.1548	197841.8349	1	1	148711.0164	122454.9867	125399.8416	1	235429.8949	408696.1139	1	1	118506.9381	1	177182.9184	139254.073	148714.9335	1	325596.8011	1
17beta-Hydroxy-2alpha-(methoxymethyl)-17-methyl-5alpha-androstan-3-one	128080.0278	178735.9111	156582.1248	61515.99674	124233.954	150173.0078	143448.9617	148251.0708	111934.0934	130091.935	167519.9046	133706.9563	177710.9435	170606.1348	67551.02311	168907.8672	96387.00277	154833.9161	74690.95892	134860.0021	128057.0362	141849.9385	115558.0309	122944.0167	125578.0683	98502.04116	150614.0675	119024.9915	1	108665.9181	140308.0248	159423.9662	60608.9824	141477.0974	107575.9459	146506.9927	131121.9782	154448.8925	121281.0817	112748.9912	200231.9957	117132.9952	76167.02889	124854.9073	115991.0529	103490.0111	1	135026.8697	1	152613.0704	166704.9017	112459.0313	132004.9954	146713.998	220768.0696	124771.1619	145735.0127	139875.0382	155961.9962	151734.8551	122660.9071	136504.0282	125340.0545	82762.00637	144161.9595	137926.9642	87234.97208	123098.1027	135572.966	127406.0269	145253.0569	132631.1386
Saussurea lactone	41094.99281	59238.02823	52502.99128	47844.98194	62390.96486	36476.00227	47980.01539	47817.96123	48982.98251	54530.01758	48699.01595	54688.01207	50197.01655	51144.9792	48867.98507	70669.00618	67298.04617	52885.99114	1	57215.99916	59712.98214	51053.01347	45762.01633	70415.0406	40372.01572	32423.00079	72291.98078	33229.98451	1	72695.98168	50588.99646	56365.00098	1	73927.06412	1	51546.00509	1	67035.97926	50567.01509	68827.04736	54344.97416	75295.96841	1	58819.01483	60612.00726	61155.98187	1	71045.02469	41809.00242	62736.95988	62578.0464	56985.0161	49619.99605	74677.96533	77406.92401	1	57944.01366	57998.9837	89684.06186	113404.9431	59447.02532	66223.97552	62326.97182	46188.0174	63918.99037	39503.01094	1	66012.97514	72016.00752	47159.96411	36749.98396	60021.01102
Dihydroabietic acid	168207.091	801719.4781	697393.3105	535029.9027	301923.8083	160343.017	399080.4276	56979.99995	376818.9517	508661.0146	408120.0322	1	351193.3496	540486.1037	207812.0808	610319.0091	343261.85	568598.1975	145069.0266	510508.3384	57582.96675	1	302374.7194	298420.889	439722.2471	1469162.962	196148.9382	188734.0237	26663.00934	408219.3377	344976.1264	407137.0531	997342.843	35534.99806	638020.3877	497816.6645	248168.0733	414538.3357	304787.033	752157.8832	405790.9037	413720.8098	44774.01271	27892.99053	495148.9313	324192.2326	147336.9748	420475.4372	233298.9033	400089.7104	522537.1195	495846.8276	629614.3949	443408.2231	673342.0323	108862.006	257505.0143	517393.3551	384039.1859	472361.8744	376461.8118	41752.99305	296535.0266	1006251.847	277235.0233	63595.98207	676339.4588	470927.0279	428375.0709	419876.0579	379170.1848	547058.2759
Obtusilactone A Esi+12.578001	31265.99913	97380.95308	59225.01342	80247.95459	81991.96978	117575.0158	104723.0866	46621.95882	1	80247.95459	113795.9747	45348.96487	64709.01068	31904.9798	127204.043	75790.00598	135633.0274	96505.93174	98989.98829	122555.8649	117319.0688	67893.03695	153339.0902	51066.97565	92612.09506	180049.9908	38013.99422	124412.0759	90465.99605	1	53635.0323	69102.96533	93566.01568	60382.00323	77827.96422	93610.0626	102936.9917	136506.9614	70564.99175	38436.99686	91085.00832	57136.02303	1	36620.98562	30271.00598	105226.0223	142065.0353	46453.99333	37126.9968	39231.00028	389513.0126	202140.0969	83084.97588	42758.00734	84358.97819	84529.01394	162594.9585	160138.9804	1	109904.9622	1	65224.98108	72046.0143	66151.94707	81932.03341	53421.98638	183205.9712	37843.97469	50043.98308	95419.99564	35017.99834	117307.9286
173.9486@19.23499	107942.9878	109358.9674	1	109588.1288	129987.9171	114116.035	99208.07964	135911.9703	125234.02	119573.0717	122208.9145	196275.1497	127327.1012	1	102806.0042	146297.9471	107090.947	114351.0431	129915.9466	185348.8965	98627.88663	164691.0923	133216.9379	1	146898.995	111077.9553	107345.9324	110317.9479	147198.9648	120991.9888	176500.1642	1	128954.8939	115358.997	116117.0259	123252.9798	121239.9805	1	108185.9782	138415.9815	1	110065.0574	133052.8604	118204.0548	116117.0259	120226.8833	101274.0482	136421.925	113000.9989	104247.987	121937.9778	87961.09844	93273.00646	121355.9232	1	128169.0145	111121.0029	119679.954	1	148177.9239	127854.9065	123912.9977	127188.085	108139.9448	109489.0449	114678.944	104805.8703	108364.073	116849.0112	120644.8662	104010.0204	154662.0805
210.0322@4.0509977	88604.96977	81965.0356	1	52346.01169	71222.92177	68784.93472	1	1	59247.0212	1	85169.95694	42927.98991	73101.98698	73399.97748	38181.01936	59420.00063	1	43766.97337	1	64470.9669	63873.99207	33399.0165	75446.0108	1	35619.97788	1	55591.97435	1	83194.06553	45618.01339	1	1	91082.98801	77339.93867	1	1	60987.01565	53860.98525	45472.00507	37527.00411	51614.0064	64693.98672	1	88812.92329	34957.00586	69815.99604	64699.99588	77885.00628	55256.97635	66209.9766	105095.0359	78801.96584	63198.99517	81232.98284	63148.98828	1	80574.96298	39834.00725	37434.99652	50961.00116	38603.01741	59373.97162	80050.95535	1	51698.97296	42386.02338	60111.98331	1	67902.02598	50805.99072	70798.0498	58879.01843
Acorenone	70472.95068	82434.97817	64919.98293	95079.98136	97588.05845	47722.99612	82759.08075	80058.8904	101124.0764	87039.94352	127455.1374	62255.98857	42446.00047	63369.98265	45637.96997	124081.0264	64799.96889	106866.9334	66265.94412	68799.0012	1	99123.0528	1	1	86352.00168	83032.93072	86550.04805	79640.02205	43722.00679	88442.97904	50476.00115	55605.00018	87277.97448	72816.96549	75658.9954	1	1	60962.98819	66282.94116	52720.00914	92827.97329	58524.98341	60292.04318	53355.00537	59849.0406	56312.98477	80643.07328	84353.94965	63985.9707	112330.0191	78821.031	119204.9814	95752.9955	95592.97633	79379.01281	68300.04933	101448.9213	88326.08831	113661.0167	63136.99601	100542.0859	49087.02119	54769.04105	79914.01949	45544.96651	95475.96658	69482.97954	85190.03132	101670.034	77859.96091	82771.9887	52059.00076
5-Methyl-2-phenyl-2-hexenal	254708.9273	396634.8723	598593.4637	238769.8251	376428.9343	375435.0972	586997.1609	764478.8166	300508.0265	408940.9468	143431.9599	111562.0636	328710.9521	516907.2816	207455.1577	333156.15	317474.8979	176446.9541	147730.993	290357.7467	175942.806	110737.9351	102525.9794	170190.0302	264473.9313	140118.8959	231613.2078	342758.9946	139775.0175	330943.8648	284592.0824	444505.8868	68493.05073	175678.1206	185747.9805	155303.8426	98100.03291	328595.6827	145528.8844	230432.0716	302703.9551	277908.0309	251313.2133	238970.0017	245950.2507	179137.1459	140836.0359	184868.8976	238631.0088	138112.0814	163344.0072	332999.6188	269806.0176	154702.9305	398292.8346	40887.01158	281282.8368	302256.1147	124068.9001	289550.8086	284492.0871	149007.9728	293872.941	213660.1013	257041.183	192651.9148	237640.7959	177192.0069	159065.011	298788.6872	268114.9239	257471.996
Sterol Esi+10.92299	143360.0977	79582.96336	75054.03424	126766.8501	41473.00605	51549.00641	50705.98771	61921.93781	53093.03525	117583.9807	32258.99784	61844.04228	57848.98396	72602.01656	1	73413.96999	71219.07117	65497.036	1	276478.9274	34305.99286	51250.02188	112311.0226	106583.0132	98596.99111	179450.9456	88324.98631	90882.94722	95981.98305	120536.955	55800.01928	72555.02927	1	129043.0574	62383.981	81526.07845	95948.99002	146101.0479	60311.96001	84078.07394	105050.0265	102604.1103	85687.0759	45451.99504	75521.98164	143210.0287	48561.01648	205636.9509	60375.97661	47970.97028	97096.05097	55218.99461	94589.01324	54370.02986	120754.0457	66737.96151	52106.00405	60997.01403	95355.9274	138895.9493	62478.0151	80379.94668	97654.03256	135653.9941	197346.0339	99074.96966	1	91385.01525	98045.98958	105848.0378	55296.01908	101572.8992
Salvinorin A	111118.9233	76403.01763	77371.03754	1	56343.00929	46329.99801	77353.02012	46299.98161	48949.00793	95986.90637	105871.9586	84170.0877	64490.96783	1	1	56607.98695	50023.00133	1	1	68376.0281	53432.98521	48107.99324	56274.97928	86149.03406	41052.00314	60766.98109	85042.9487	72200.94002	66149.01254	105308.9845	84946.09457	1	89936.99122	95239.99999	59954.02536	100877.0174	88816.00137	88279.02039	54953.96665	53747.01455	102483.9882	1	83525.95776	77061.99955	59298.00715	64974.97261	121732.9335	61780.9742	73713.02787	59707.02229	1	47536.95917	134103.0013	1	84838.00057	1	69115.03681	1	88080.00925	94581.01475	1	69228.95737	54773.97646	1	75228.98474	56955.99173	1	91534.05667	69695.02228	53691.98046	52760.98945	79421.94106
"6,8-Tricosanedione"	52997.03398	107272.0722	67459.96737	61716.00261	40786.01684	41887.00175	1	57661.98973	1	41720.01338	58723.03855	55059.00813	51190.02179	1	1	83283.09135	58190.0151	40527.00664	45369.99877	42084.98551	143946.9804	78828.95341	114007.0093	202744.0429	49021.9754	61528.96056	68275.95651	51194.98954	1	41308.01172	52981.97488	1	194985.0517	52365.97141	69208.99813	1	41811.98744	117780.0773	1	66251.98225	1	51185.01904	1	54488.00314	49603.00834	55005.98572	83541.99643	57694.01318	46845.95952	85972.0448	118222.0814	113846.9408	109787.0983	54425.9853	1	132624.06	58067.00485	86998.92777	50467.98969	70922.06881	104654.0052	66581.00376	50908.0082	62856.00675	58052.9999	53704.00271	126129.9182	88846.97274	50808.98417	54805.04181	42717.9857	1
451.3873@13.263	89266.9801	93190.09492	40273.9959	48292.98436	1372813.296	70879.95168	123029.9468	83040.98868	141855.9364	176482.181	60698.99461	58050.98797	55891.00514	73551.03385	178462.9417	1	66298.01245	52635.00627	66823.96653	144654.9333	91462.00973	1	58758.01344	46714.02059	53292.98419	33057.01874	49356.00488	46208.99205	34102.00634	50911.99575	92372.06501	78794.97462	1	1	44047.97269	506008.1162	34837.97144	1	84997.98382	57945.01776	87977.01305	58448.03896	1	294381.1971	43465.97843	44245.00585	59978.00852	1	66139.01778	106564.9886	1	320933.7525	61226.98408	96246.06919	69422.99568	104681.937	1	59402.00472	34439.98753	42845.97316	90360.89877	1	55354.99941	170493.0022	60209.97926	77868.00262	76494.00157	1	49715.97913	1	118721.031	39503.01094
"5-(14-Nonadecenyl)-1,3-benzenediol Esi+12.731006"	68451.00012	402220.7543	332987.8473	1	102136.9955	100416.0253	1	1	68367.97149	40979.0097	45636.98934	39086.99353	62343.95242	1	1	113339.9543	62478.0151	50495.94785	90845.91356	109641.9981	393650.8315	128829.0123	399108.644	485766.6768	82306.00088	1	113245.9554	40061.00518	1	1	122966.005	123945.9839	362727.0975	80478.00937	125576.8497	46677.02525	75363.01173	1	32897.99409	157569.9609	106658.9866	63766.05462	43319.98131	108434.0251	48082.99029	83616.03423	154729.9553	1	74365.04361	164696.1152	216321.8696	249429.0544	285791.0081	98650.99625	148620.953	1	98641.01333	92637.06982	1	89958.99978	329234.9573	70267.98948	1	198214.9151	29652.99076	99508.07614	331903.8871	161055.0084	127228.116	78728.04321	123797.1005	1
360.2192@12.083989	135678.0674	39484.99809	44412.98753	52379.04008	57364.9938	90717.92366	73396.9758	68990.97362	88226.96275	85925.93352	66494.98881	84187.00865	50230.98691	83261.04239	1	52685.96232	104686.0005	82257.97865	60332.00887	143878.0514	1	51525.00074	1	53018.98754	105363.9638	82741.98797	1	60230.01509	40751.9931	1	42670.99112	68987.96097	1	70391.03117	61377.02082	115456.9905	58949.01147	57452.97583	66510.01611	56360.00034	76712.01836	111624.0213	45744.00302	60253.98337	43585.99428	53977.01217	34734.0014	57817.99661	73819.02182	66816.97275	40015.99051	80210.97339	77417.9776	59504.98854	59709.98145	81588.03647	47593.00737	82437.89234	1	62627.99187	57343.00941	70490.00074	84152.99515	59452.0114	55634.01093	66672.99893	82696.00415	1	72524.05643	48109.99403	74571.97859	63725.00672
Akeboside Std Esi+7.9039965	61787.01258	1	44243.01246	45095.98899	104661.0419	32215.00057	52116.98482	89345.03878	89116.99711	72483.95219	155528.0206	41625.01005	52660.98916	84949.03863	63883.02462	120566.9532	68579.98651	58639.00487	44219.00678	36653.0085	1	1	1	80044.96297	68804.96243	85617.96945	65116.97227	29669.00656	57486.03873	81204.94708	61385.99811	111294.9804	1	52255.96104	83034.02426	38480.98212	57177.97871	52465.01146	39631.00685	43992.98886	1	62076.00099	1	134215.9869	30503.01016	48938.99994	55735.00142	76154.04244	27570.00675	1	85416.96398	58782.0071	127754.0055	73298.95449	126766.8501	1	31610.99881	60374.00972	61148.9879	51089.98883	82614.01918	39814.02203	1	27872.00177	41802.97506	1	1	34135.02055	67361.93684	46307.01044	53348.97751	87124.99212
Cyclic de-hypoxanthine futalosine	95416.95325	174727.9647	1	105809.0131	88857.93537	96398.09393	83662.00774	64835.03525	115071.0983	97081.04382	62337.98924	81725.00841	96106.94046	131215.0794	101032.015	81287.05498	126790.0494	124357.9315	88629.04822	89817.93916	423102.8858	50331.04738	324743.9223	213303.0398	111173.0058	95424.03027	110500.0119	118621.0071	83646.98965	131282.0367	62148.02827	1	384574.6121	94081.9929	116173.0578	82557.97706	75668.0161	1	93962.92476	112487.9548	1	123302.9679	1	85302.94916	93702.05059	81818.98389	155635.9696	71272.01044	133819.9792	212609.1262	246429.9364	285646.0392	447370.9337	99204.98523	1	125173.0973	130129.9935	89710.98303	74382.05571	1	220764.8561	86226.93627	94825.01012	232382.1936	1	129840.0558	376473.8154	218586.2308	123644.9678	101704.9943	170108.8884	1
2-(4-Methylphenyl)-1-propanol	400378.2283	1	43142.01678	1089398.987	83039.95261	36302.99613	1	108888.9476	42235.01667	389982.808	76695.00498	71033.99474	428004.963	61509.98484	1466399.735	148156.0485	107938.9475	41265.02803	1	823682.0365	1	442632.2366	1458073.484	161643.0552	1	292166.8561	42256.01212	373050.1338	1563660.63	146897.9768	124876.112	111931.9985	1	72616.00795	88909.0095	1	1	85245.02389	432857.9107	75595.98539	82184.00401	67070.97714	1	128911.9964	211332.0422	893073.8785	1	553946.0691	129282.0093	1	196895.9622	1	67762.99406	221813.2466	61621.02244	1	1	1	219239.9219	128890.9997	1	92644.00488	219333.0965	1	615364.2047	543279.8449	1	32277.00285	328495.026	703215.332	149216.9604	394558.0366
